"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC6023157";"29953526";"10.1371/journal.pone.0199881";"oa_package/6d/ee/PMC6023157.tar.gz";NA;"2018";"research-article";NA;"1932-6203";"FoR_1";"MD";"MD - Multidisciplinary";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"13";"0";TRUE
"PMC5139050";"26426210";"10.1111/hex.12416";"oa_package/63/49/PMC5139050.tar.gz";NA;"2016";"research-article";"1369-6513";"1369-7625";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"10";"0";TRUE
"PMC7145546";"31665428";"10.1093/nar/gkz958";"oa_package/c0/ad/PMC7145546.tar.gz";"oa_pdf/c0/ad/gkz958.PMC7145546.pdf";"2020";"research-article";"0305-1048";"1362-4962";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"5";"0";TRUE
"PMC3685573";"23705984";"10.1186/1880-6805-32-9";"oa_package/5c/bc/PMC3685573.tar.gz";NA;"2013";"research-article";"1880-6791";"1880-6805";"FoR_2";"1116";"1116 - Medical Physiology";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"3";"0";TRUE
"PMC6517320";"29754661";"10.1016/j.ahj.2018.02.015";"oa_package/97/22/PMC6517320.tar.gz";"oa_pdf/97/22/nihms-1025306.PMC6517320.pdf";"2018";"research-article";"0002-8703";"1097-6744";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"16";"0";TRUE
"PMC5867124";"29441681";"10.1111/jcmm.13504";"oa_package/06/4e/PMC5867124.tar.gz";NA;"2018";"research-article";"1582-1838";"1582-4934";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC6883715";"31783758";"10.1186/s12913-019-4749-y";"oa_package/99/6e/PMC6883715.tar.gz";NA;"2019";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"10";"0";TRUE
"PMC4269846";"25491883";"10.1186/s12875-014-0202-9";"oa_package/7b/4a/PMC4269846.tar.gz";NA;"2014";"research-article";NA;"1471-2296";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"10";"0";TRUE
"PMC4948101";"27433335";"10.1186/s12998-016-0106-y";"oa_package/ba/7f/PMC4948101.tar.gz";NA;"2016";"research-article";NA;"2045-709X";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC6408913";"30863688";"10.7717/peerj.6577";"oa_package/f7/69/PMC6408913.tar.gz";NA;"2019";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"3";"1";"0";"2";"0";"1";"0";"1";"1";"1";"12";"0";TRUE
"PMC5078900";"27799957";"10.1186/s13223-016-0162-9";"oa_package/19/b9/PMC5078900.tar.gz";NA;"2016";"research-article";"1710-1484";"1710-1492";"FoR_1";"1107";"1107 - Immunology";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC5108262";"27878082";"10.1002/ece3.2544";"oa_package/73/cd/PMC5108262.tar.gz";NA;"2016";"research-article";NA;"2045-7758";"FoR_1";"0603";"0603 - Evolutionary Biology";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC3409104";"22802361";"10.1085/jgp.201110706";"oa_package/76/1d/PMC3409104.tar.gz";"oa_pdf/76/1d/JGP_201110706.PMC3409104.pdf";"2012";"research-article";"0022-1295";"1540-7748";"FoR_2";"1116";"1116 - Medical Physiology";"0";"1";"0";"0";"0";"1";"0";"2";"7";"0";"11";"0";TRUE
"PMC6488114";"30806043";"10.1002/cam4.2031";"oa_package/61/21/PMC6488114.tar.gz";NA;"2019";"research-article";NA;"2045-7634";"FoR_2";"1112";"1112 - Oncology and Carcinogenesis";"2";"0";"1";"0";"0";"1";"0";"0";"2";"2";"8";"0";TRUE
"PMC3321242";"22493540";"10.6026/97320630008290";"oa_package/1a/e3/PMC3321242.tar.gz";NA;"2012";"research-article";NA;"0973-2063";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0";TRUE
"PMC2903569";"20525369";"10.1186/1471-2105-11-305";"oa_package/25/cd/PMC2903569.tar.gz";NA;"2010";"research-article";NA;"1471-2105";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"8";"0";TRUE
"PMC3497233";"23097517";"10.1098/rspb.2012.1795";"oa_package/7a/20/PMC3497233.tar.gz";NA;"2012";"research-article";"0962-8452";"1471-2954";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"7";"0";TRUE
"PMC4971753";"27485435";"10.1186/s12913-016-1554-8";"oa_package/91/fe/PMC4971753.tar.gz";NA;"2016";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"12";"0";TRUE
"PMC7469308";"32905307";"10.1186/s13040-020-00223-w";"oa_package/c8/e8/PMC7469308.tar.gz";NA;"2020";"research-article";NA;"1756-0381";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"0";"0";"1";"0";"1";"0";"0";"3";"0";"15";"0";TRUE
"PMC4163843";"24195791";"10.5483/BMBRep.2014.47.1.086";"oa_package/c2/e8/PMC4163843.tar.gz";"oa_pdf/c2/e8/BMB-47-15.PMC4163843.pdf";"2014";"research-article";"1976-6696";"1976-670X";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC3549945";"23148504";"10.1186/1746-4269-8-43";"oa_package/d9/91/PMC3549945.tar.gz";NA;"2012";"research-article";NA;"1746-4269";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"9";"0";TRUE
"PMC4451026";"26038737";"10.7717/peerj.985";"oa_package/cf/93/PMC4451026.tar.gz";NA;"2015";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"16";"0";TRUE
"PMC3252467";"21952692";"10.1038/ejcn.2011.159";"oa_package/13/27/PMC3252467.tar.gz";NA;"2012";"research-article";"0954-3007";"1476-5640";"FoR_1";"1106";"1106 - Human Movement and Sports Science";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"5";"0";TRUE
"PMC3605153";"23555247";"10.1371/journal.ppat.1003231";"oa_package/72/50/PMC3605153.tar.gz";NA;"2013";"research-article";"1553-7366";"1553-7374";"FoR_2";"1107";"1107 - Immunology";"1";"1";"0";"0";"0";"1";"0";"0";"7";"0";"8";"0";TRUE
"PMC3819628";"24223556";"10.3389/fphar.2013.00139";"oa_package/40/7d/PMC3819628.tar.gz";NA;"2013";"research-article";NA;"1663-9812";"FoR_1";"1115";"1115 - Pharmacology and Pharmaceutical Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"11";"0";TRUE
"PMC4076803";"24918743";"10.1038/psp.2014.16";"oa_package/ee/45/PMC4076803.tar.gz";NA;"2014";"research-article";NA;"2163-8306";"FoR_1";"1115";"1115 - Pharmacology and Pharmaceutical Sciences";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"5";"0";TRUE
"PMC3235719";"22203871";"10.1155/2012/401867";"oa_package/9f/e7/PMC3235719.tar.gz";NA;"2012";"research-article";"1741-427X";"1741-4288";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"7";"0";TRUE
"PMC3873707";"24366464";"10.1038/pr.2013.207";"oa_package/cf/47/PMC3873707.tar.gz";"oa_pdf/cf/47/pr2013207a.PMC3873707.pdf";"2013";"research-article";"0031-3998";"1530-0447";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"1";"0";"0";"0";"1";"0";"0";"3";"1";"7";"0";TRUE
"PMC5032696";"27540764";"10.18632/aging.101017";"oa_package/99/6f/PMC5032696.tar.gz";NA;"2016";"research-article";NA;"1945-4589";"FoR_2";"0606";"0606 - Physiology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC6550334";"31178608";"10.1016/j.soilbio.2017.04.011";"oa_package/4f/00/PMC6550334.tar.gz";"oa_pdf/4f/00/nihms-1504306.PMC6550334.pdf";"2017";"research-article";"0038-0717";"1879-3428";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"23";"0";TRUE
"PMC5599328";"28617425";"10.1038/jp.2017.91";"oa_package/16/fd/PMC5599328.tar.gz";NA;"2017";"research-article";"0743-8346";"1476-5543";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"11";"0";TRUE
"PMC7592985";"32770600";"10.1002/acm2.12992";"oa_package/9a/b0/PMC7592985.tar.gz";NA;"2020";"research-article";NA;"1526-9914";"FoR_1";"1116";"1116 - Medical Physiology";"0";"0";"0";"1";"0";"1";"0";"0";"5";"0";"6";"0";TRUE
"PMC7182782";"31635988";"10.1016/j.optom.2019.07.001";"oa_package/e8/38/PMC7182782.tar.gz";"oa_pdf/e8/38/main.PMC7182782.pdf";"2020";"research-article";"1888-4296";"1989-1342";"FoR_1";"1113";"1113 - Ophthalmology and Optometry";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"7";"0";TRUE
"PMC4109085";"25089192";"10.1038/ijosup.2012.9";"oa_package/35/79/PMC4109085.tar.gz";NA;"2012";"research-article";"2046-2166";"2046-2174";"FoR_1";NA;NA;"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"3";"0";TRUE
"PMC3532014";"23275734";"10.6026/97320630081277";"oa_package/12/6c/PMC3532014.tar.gz";NA;"2012";"research-article";NA;"0973-2063";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";TRUE
"PMC6245488";"30453940";"10.1186/s12920-018-0411-5";"oa_package/fb/d1/PMC6245488.tar.gz";NA;"2018";"research-article";NA;"1755-8794";"FoR_2";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"8";"0";TRUE
"PMC5137341";"28008347";"10.1111/2041-210X.12575";"oa_package/d2/6b/PMC5137341.tar.gz";NA;"2016";"research-article";NA;"2041-210X";"FoR_1";"0603";"0603 - Evolutionary Biology";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"5";"0";TRUE
"PMC7458576";"32876289";"10.1590/1518-8345.4033.3309";"oa_package/f1/e0/PMC7458576.tar.gz";NA;"2020";"research-article";"0104-1169";"1518-8345";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"8";"0";TRUE
"PMC3738134";"23846170";"10.1038/bjc.2013.366";"oa_package/fc/45/PMC3738134.tar.gz";"oa_pdf/fc/45/bjc2013366a.PMC3738134.pdf";"2013";"research-article";"0007-0920";"1532-1827";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"7";"0";TRUE
"PMC5468553";"28638408";"10.1155/2017/3894870";"oa_package/6c/c1/PMC5468553.tar.gz";NA;"2017";"research-article";"1687-8337";"1687-8345";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"2";"0";"0";"3";"0";"2";"0";TRUE
"PMC4172878";"25313270";"10.1155/2014/389582";"oa_package/f1/20/PMC4172878.tar.gz";NA;"2014";"research-article";"0962-9351";"1466-1861";"FoR_1";"1107";"1107 - Immunology";"0";"0";"0";"0";"0";"2";"1";"0";"2";"0";"7";"0";TRUE
"PMC3180695";"21871085";"10.1186/1471-2172-12-49";"oa_package/ac/91/PMC3180695.tar.gz";NA;"2011";"research-article";NA;"1471-2172";"FoR_1";"1107";"1107 - Immunology";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"12";"0";TRUE
"PMC5395655";"28469995";"10.3389/fcimb.2017.00128";"oa_package/f8/2f/PMC5395655.tar.gz";NA;"2017";"research-article";NA;"2235-2988";"FoR_2";"0605";"0605 - Microbiology";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"11";"0";TRUE
"PMC3880175";"24382312";"10.1186/1472-6963-14-1";"oa_package/f9/83/PMC3880175.tar.gz";NA;"2014";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC4407843";"25886363";"10.1186/s12887-015-0346-3";"oa_package/3e/10/PMC4407843.tar.gz";NA;"2015";"research-article";NA;"1471-2431";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"10";"0";TRUE
"PMC5049390";"27506218";"10.1093/jxb/erw302";"oa_package/4f/42/PMC5049390.tar.gz";NA;"2016";"research-article";"0022-0957";"1460-2431";"FoR_1";"0604";"0604 - Genetics";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";TRUE
"PMC5367594";"28356710";"10.2147/OPTH.S126042";"oa_package/23/9a/PMC5367594.tar.gz";"oa_pdf/23/9a/opth-11-557.PMC5367594.pdf";"2017";"research-article";"1177-5467";"1177-5483";"FoR_1";"1113";"1113 - Ophthalmology and Optometry";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"7";"0";TRUE
"PMC6598673";"30772363";"10.1016/j.survophthal.2019.02.003";"oa_package/93/19/PMC6598673.tar.gz";NA;"2019";"research-article";"0039-6257";"1879-3304";"FoR_1";"1113";"1113 - Ophthalmology and Optometry";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"12";"0";TRUE
"PMC4289549";"25511777";"10.1186/1472-6831-14-152";"oa_package/d5/97/PMC4289549.tar.gz";NA;"2014";"research-article";NA;"1472-6831";"FoR_1";"1105";"1105 - Dentistry";"0";"2";"0";"0";"0";"1";"0";"0";"3";"0";"4";"0";TRUE
"PMC6868872";"31747957";"10.1186/s12905-019-0838-7";"oa_package/bb/97/PMC6868872.tar.gz";NA;"2019";"research-article";NA;"1472-6874";"FoR_2";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"0";TRUE
"PMC5969199";"29910308";"10.3390/sports6010004";"oa_package/fa/f6/PMC5969199.tar.gz";NA;"2018";"research-article";NA;"2075-4663";"FoR_1";"1106";"1106 - Human Movement and Sports Science";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"13";"0";TRUE
"PMC7078481";"32184252";"10.1128/mBio.03196-19";"oa_package/7f/b4/PMC7078481.tar.gz";NA;"2020";"research-article";NA;"2150-7511";"FoR_1";"0605";"0605 - Microbiology";"1";"0";"0";"3";"1";"1";"0";"0";"1";"0";"11";"0";TRUE
"PMC3879446";"24109604";"10.1093/molbev/mst175";"oa_package/7b/83/PMC3879446.tar.gz";"oa_pdf/7b/83/mst175.PMC3879446.pdf";"2014";"research-article";"0737-4038";"1537-1719";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"1";"1";"0";"0";"0";"1";"0";"0";"3";"0";"8";"0";TRUE
"PMC3362677";"22544394";"10.1038/ni.2292";"oa_package/af/0e/PMC3362677.tar.gz";NA;"2012";"research-article";"1529-2908";"1529-2916";"FoR_1";"1107";"1107 - Immunology";"1";"6";"0";"0";"0";"1";"0";"1";"0";"0";"19";"0";TRUE
"PMC5775617";"29351752";"10.1186/s12903-017-0471-5";"oa_package/b4/74/PMC5775617.tar.gz";NA;"2018";"research-article";NA;"1472-6831";"FoR_1";"1105";"1105 - Dentistry";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"8";"0";TRUE
"PMC7196474";"32067421";"10.1002/mgg3.1185";"oa_package/85/f2/PMC7196474.tar.gz";NA;"2020";"research-article";NA;"2324-9269";"FoR_1";"0604";"0604 - Genetics";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"5";"0";TRUE
"PMC4230760";"25376163";"10.1186/s12934-014-0149-5";"oa_package/4e/97/PMC4230760.tar.gz";NA;"2014";"research-article";NA;"1475-2859";"FoR_1";"0605";"0605 - Microbiology";"0";"1";"0";"0";"0";"1";"0";"0";"4";"0";"8";"0";TRUE
"PMC5983011";"29868249";"10.7717/peerj.4742";"oa_package/7b/59/PMC5983011.tar.gz";NA;"2018";"research-article";NA;"2167-8359";"FoR_1";"0600";"0600 - Biological Sciences";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"12";"0";TRUE
"PMC6418300";"30649657";"10.1007/s10519-018-9943-x";"oa_package/f4/90/PMC6418300.tar.gz";NA;"2019";"research-article";"0001-8244";"1573-3297";"FoR_1";"1109";"1109 - Neurosciences";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"9";"0";TRUE
"PMC3967965";"24676100";"10.1371/journal.pgen.1004263";"oa_package/89/e6/PMC3967965.tar.gz";NA;"2014";"research-article";"1553-7390";"1553-7404";"FoR_1";"0604";"0604 - Genetics";"1";"3";"0";"1";"1";"1";"0";"0";"1";"0";"8";"0";TRUE
"PMC4971725";"27484002";"10.1186/s12885-016-2605-6";"oa_package/17/c8/PMC4971725.tar.gz";NA;"2016";"research-article";NA;"1471-2407";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"0";TRUE
"PMC3000357";"21170359";"10.1371/journal.pgen.1001238";"oa_package/3b/dc/PMC3000357.tar.gz";NA;"2010";"research-article";"1553-7390";"1553-7404";"FoR_1";"0604";"0604 - Genetics";"0";"1";"0";"0";"0";"1";"0";"0";"6";"0";"8";"0";TRUE
"PMC3826509";"24188214";"10.1186/1472-684X-12-40";"oa_package/95/a3/PMC3826509.tar.gz";NA;"2013";"research-article";NA;"1472-684X";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"11";"0";TRUE
"PMC5079350";"27812502";"10.1016/j.nicl.2016.09.021";"oa_package/ef/2c/PMC5079350.tar.gz";"oa_pdf/ef/2c/main.PMC5079350.pdf";"2016";"research-article";NA;"2213-1582";"FoR_1";"1109";"1109 - Neurosciences";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"9";"0";TRUE
"PMC4894769";"26049719";"10.1097/NNR.0000000000000107";"oa_package/f3/2a/PMC4894769.tar.gz";"oa_pdf/f3/2a/nnr-64-291.PMC4894769.pdf";"2015";"research-article";"0029-6562";"1538-9847";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"6";"0";TRUE
"PMC7674333";"32880050";"10.1007/s00421-020-04481-8";"oa_package/78/a4/PMC7674333.tar.gz";NA;"2020";"research-article";"1439-6319";"1439-6327";"FoR_1";"1106";"1106 - Human Movement and Sports Science";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"7";"0";TRUE
"PMC5031807";"27676161";"10.1016/j.ipej.2016.06.001";"oa_package/7d/74/PMC5031807.tar.gz";"oa_pdf/7d/74/main.PMC5031807.pdf";"2016";"research-article";NA;"0972-6292";"FoR_1";"1116";"1116 - Medical Physiology";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"4";"0";TRUE
"PMC3852560";"24093163";"10.1186/1472-6963-13-386";"oa_package/f6/2c/PMC3852560.tar.gz";NA;"2013";"research-article";NA;"1472-6963";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"7";"0";TRUE
"PMC3472230";"22873758";"10.1186/1471-2431-12-120";"oa_package/d5/b1/PMC3472230.tar.gz";NA;"2012";"research-article";NA;"1471-2431";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"11";"0";TRUE
"PMC3199907";"21816029";"10.1186/1475-2875-10-224";"oa_package/e2/84/PMC3199907.tar.gz";NA;"2011";"research-article";NA;"1475-2875";"FoR_1";"0605";"0605 - Microbiology";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"10";"0";TRUE
"PMC6262366";"30524304";"10.3389/fphys.2018.01640";"oa_package/75/95/PMC6262366.tar.gz";NA;"2018";"research-article";NA;"1664-042X";"FoR_1";"0606";"0606 - Physiology";"0";"7";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";TRUE
"PMC6629375";"31314860";"10.1590/0074-02760190029";"oa_package/f5/90/PMC6629375.tar.gz";NA;"2019";"research-article";"0074-0276";"1678-8060";"FoR_1";"1108";"1108 - Medical Microbiology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";TRUE
"PMC4266675";"25506823";"10.1371/journal.pone.0115453";"oa_package/ba/ba/PMC4266675.tar.gz";NA;"2014";"research-article";NA;"1932-6203";"FoR_1";"MD";"MD - Multidisciplinary";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"15";"0";TRUE
"PMC5809558";"29434274";"10.1038/s41598-018-20764-9";"oa_package/d3/56/PMC5809558.tar.gz";NA;"2018";"research-article";NA;"2045-2322";"FoR_1";"MD";"MD - Multidisciplinary";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"9";"0";TRUE
"PMC3368736";"22429873";"10.1186/1471-2431-12-30";"oa_package/8e/13/PMC3368736.tar.gz";NA;"2012";"research-article";NA;"1471-2431";"FoR_1";"1114";"1114 - Paediatrics and Reproductive Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"10";"0";TRUE
"PMC3759844";"23470796";"10.1016/j.jprot.2013.02.022";"oa_package/ae/eb/PMC3759844.tar.gz";NA;"2013";"research-article";"1874-3919";"1876-7737";"FoR_1";"0601";"0601 - Biochemistry and Cell Biology";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"5";"0";TRUE
"PMC5670349";"29163197";"10.3389/fphys.2017.00851";"oa_package/40/95/PMC5670349.tar.gz";NA;"2017";"research-article";NA;"1664-042X";"FoR_2";"1116";"1116 - Medical Physiology";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"8";"1";TRUE
"PMC3614293";"23573484";"10.5812/numonthly.3528";"oa_package/d2/6d/PMC3614293.tar.gz";NA;"2012";"research-article";"2251-7006";"2251-7014";"FoR_1";NA;NA;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC5871275";"28403656";"10.1177/2156587217701857";"oa_package/84/88/PMC5871275.tar.gz";"oa_pdf/84/88/10.1177_2156587217701857.PMC5871275.pdf";"2017";"research-article";"2156-5872";"2156-5899";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";TRUE
"PMC4309853";"25560242";"10.1016/j.redox.2014.12.016";"oa_package/f3/7d/PMC4309853.tar.gz";"oa_pdf/f3/7d/main.PMC4309853.pdf";"2014";"research-article";NA;"2213-2317";"FoR_2";"1101";"1101 - Medical Biochemistry and Metabolomics";"1";"0";"0";"0";"0";"2";"0";"0";"3";"0";"7";"0";TRUE
"PMC7297762";"32551080";"10.1002/ece3.6257";"oa_package/4e/a8/PMC7297762.tar.gz";NA;"2020";"research-article";NA;"2045-7758";"FoR_1";"0603";"0603 - Evolutionary Biology";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"8";"0";TRUE
"PMC6626914";"31338326";"10.3389/fonc.2019.00574";"oa_package/c0/f4/PMC6626914.tar.gz";NA;"2019";"research-article";NA;"2234-943X";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"8";"1";TRUE
"PMC5750693";"28722772";"10.1111/hex.12600";"oa_package/64/37/PMC5750693.tar.gz";NA;"2018";"research-article";"1369-6513";"1369-7625";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"9";"0";TRUE
"PMC4860234";"27239209";"10.1155/2016/4628287";"oa_package/a0/8e/PMC4860234.tar.gz";NA;"2016";"research-article";"1741-427X";"1741-4288";"FoR_1";"1104";"1104 - Complementary and Alternative Medicine";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"15";"0";TRUE
"PMC5009486";"27586537";"10.1186/s12931-016-0426-4";"oa_package/b9/74/PMC5009486.tar.gz";NA;"2016";"research-article";"1465-9921";"1465-993X";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC5802544";"26935834";"10.1177/1471301216636302";"oa_package/50/69/PMC5802544.tar.gz";NA;"2018";"research-article";"1471-3012";"1741-2684";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"15";"0";TRUE
"PMC7291851";"32060420";"10.1038/s41388-020-1201-z";"oa_package/3e/b5/PMC7291851.tar.gz";NA;"2020";"research-article";"0950-9232";"1476-5594";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"1";"3";"0";"0";"2";"1";"0";"0";"0";"0";"19";"0";TRUE
"PMC4479805";"26161077";"10.3389/fmicb.2015.00632";"oa_package/83/f8/PMC4479805.tar.gz";NA;"2015";"research-article";NA;"1664-302X";"FoR_1";"0605";"0605 - Microbiology";"3";"0";"0";"0";"0";"1";"0";"0";"1";"2";"8";"0";TRUE
"PMC4106123";"25105021";"10.1155/2014/794039";"oa_package/8a/5b/PMC4106123.tar.gz";NA;"2014";"research-article";"2090-004X";"2090-0058";"FoR_1";"1113";"1113 - Ophthalmology and Optometry";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"4";"0";TRUE
"PMC3549344";"23346019";"10.1100/2012/628216";"oa_package/d8/e0/PMC3549344.tar.gz";NA;"2012";"research-article";"2356-6140";"1537-744X";"FoR_1";"MD";"MD - Multidisciplinary";"1";"0";"0";"0";"0";"1";"0";"0";"4";"0";"4";"0";TRUE
"PMC4451728";"26012577";"10.1186/s13063-015-0740-z";"oa_package/5a/9c/PMC4451728.tar.gz";NA;"2015";"research-article";NA;"1745-6215";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC3541173";"23167570";"10.1186/1471-2229-12-219";"oa_package/14/d6/PMC3541173.tar.gz";NA;"2012";"research-article";NA;"1471-2229";"FoR_1";"0605";"0605 - Microbiology";"0";"0";"0";"0";"0";"1";"0";"0";"6";"0";"10";"0";TRUE
"PMC6026856";"28481656";"10.1080/10903127.2017.1315203";"oa_package/f6/74/PMC6026856.tar.gz";"oa_pdf/f6/74/nihms976327.PMC6026856.pdf";"2017";"research-article";"1090-3127";"1545-0066";"FoR_1";"1110";"1110 - Nursing";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"15";"0";TRUE
